n_estimators,learning_rate,max_depth,cv_accuracy,test_accuracy,test_f1,run_id
50,0.05,3,0.9443349753694582,0.9444444444444444,0.944269005847953,ba893c81ef8041bd9fffe4f57e2118b2
50,0.05,5,0.9086206896551724,0.8888888888888888,0.8895061728395063,9590bf5c5355451a91e661c065861ea0
50,0.1,3,0.9443349753694582,0.9444444444444444,0.944269005847953,8787525d966b4f2b86af887cb3576498
50,0.1,5,0.9086206896551724,0.8888888888888888,0.8895061728395063,f8771c19f6264d26b8b72bd7ab7114a3
50,0.2,3,0.9514778325123153,0.9444444444444444,0.944269005847953,42ecd1fdaeec4d2bbc681120fc434992
50,0.2,5,0.9017241379310346,0.8888888888888888,0.8895061728395063,cd91ac31ebe14f32907f96529fb0453b
100,0.05,3,0.9443349753694582,0.9444444444444444,0.944269005847953,6d91c00ac92c4064b044aba0a0f0f506
100,0.05,5,0.9017241379310346,0.8888888888888888,0.8895061728395063,b1a7c736000b4a6e9b8ca5574e646c08
100,0.1,3,0.9514778325123153,0.9444444444444444,0.944269005847953,bb86b8f016484c82973a204b036e78a1
100,0.1,5,0.9017241379310346,0.8888888888888888,0.8895061728395063,ca4e889565d1459796cfca0c48de8c2d
100,0.2,3,0.9371921182266011,0.9444444444444444,0.944269005847953,c855d0aa2c3741ae991bd3ce01bba7ef
100,0.2,5,0.9160098522167488,0.9444444444444444,0.944269005847953,68a018b92fa642e49d53716106d618e6
200,0.05,3,0.9514778325123153,0.9444444444444444,0.944269005847953,9f79082890d54364ab6e76178523fb64
200,0.05,5,0.9017241379310346,0.8888888888888888,0.8895061728395063,4518aa19f5cf4f11b4d4fffb9f166c5d
200,0.1,3,0.9371921182266011,0.9444444444444444,0.944269005847953,7b0599ffe07d495cac7070f8d12d53b6
200,0.1,5,0.9371921182266011,0.9444444444444444,0.944269005847953,398d1a97a9fa42ac9016ff4aa082d2c3
200,0.2,3,0.9371921182266011,0.9444444444444444,0.944269005847953,667a78e577944b549263f4a8d58982ce
200,0.2,5,0.9160098522167488,0.9444444444444444,0.944269005847953,871aa15864e2408796da03f125b78309
